timestamp,activeOrders, sells,buys, digest

Mon Mar 09 22:11:03 GMT 2015 , 2 , 2 , 0 , 3187068 : { sell 1.5@0.00349503} 3187065 : { sell 1.5@0.00349503} 
Mon Mar 09 22:13:13 GMT 2015 , 2 , 2 , 0 , 3187102 : { sell 1.5@0.0034954} 3187098 : { sell 1.5@0.0034954} 
Mon Mar 09 22:15:23 GMT 2015 , 2 , 2 , 0 , 3187129 : { sell 1.5@0.0034954} 3187124 : { sell 1.5@0.0034954} 
Mon Mar 09 22:17:33 GMT 2015 , 2 , 2 , 0 , 3187129 : { sell 1.5@0.0034954} 3187124 : { sell 1.5@0.0034954} 
Mon Mar 09 22:19:43 GMT 2015 , 2 , 2 , 0 , 3187162 : { sell 1.5@0.00349637} 3187156 : { sell 1.5@0.00349637} 
Mon Mar 09 22:21:53 GMT 2015 , 2 , 2 , 0 , 3187195 : { sell 1.5@0.00349528} 3187187 : { sell 1.5@0.00349528} 
Mon Mar 09 22:26:13 GMT 2015 , 2 , 2 , 0 , 3187225 : { sell 1.5@0.00349516} 3187217 : { sell 1.5@0.00349516} 
Mon Mar 09 22:28:23 GMT 2015 , 2 , 2 , 0 , 3187255 : { sell 1.5@0.00349637} 3187244 : { sell 1.5@0.00349637} 
Mon Mar 09 22:30:33 GMT 2015 , 2 , 2 , 0 , 3187280 : { sell 1.5@0.00349637} 3187276 : { sell 1.5@0.00349637} 
Mon Mar 09 22:32:43 GMT 2015 , 2 , 2 , 0 , 3187280 : { sell 1.5@0.00349637} 3187276 : { sell 1.5@0.00349637} 
Mon Mar 09 22:34:53 GMT 2015 , 2 , 2 , 0 , 3187311 : { sell 1.5@0.00349637} 3187305 : { sell 1.5@0.00349637} 
Mon Mar 09 22:37:03 GMT 2015 , 2 , 2 , 0 , 3187345 : { sell 1.5@0.00349734} 3187338 : { sell 1.5@0.00349734} 
Mon Mar 09 22:41:23 GMT 2015 , 2 , 2 , 0 , 3187377 : { sell 1.5@0.00349734} 3187367 : { sell 1.5@0.00349734} 
Mon Mar 09 22:43:33 GMT 2015 , 2 , 2 , 0 , 3187400 : { sell 1.5@0.00351874} 3187395 : { sell 1.5@0.00351874} 
Mon Mar 09 22:45:43 GMT 2015 , 2 , 2 , 0 , 3187429 : { sell 1.5@0.00351333} 3187425 : { sell 1.5@0.00351333} 
Mon Mar 09 22:47:53 GMT 2015 , 2 , 2 , 0 , 3187429 : { sell 1.5@0.00351333} 3187425 : { sell 1.5@0.00351333} 
Mon Mar 09 22:50:03 GMT 2015 , 2 , 2 , 0 , 3187462 : { sell 1.5@0.00351333} 3187456 : { sell 1.5@0.00351333} 
Mon Mar 09 22:52:13 GMT 2015 , 2 , 2 , 0 , 3187496 : { sell 1.5@0.0034839} 3187494 : { sell 1.5@0.0034839} 
Mon Mar 09 22:56:33 GMT 2015 , 2 , 0 , 2 , 3187532 : { buy 1.616676@0.00342953} 3187529 : { buy 2.525043@0.00342953} 
Mon Mar 09 22:58:43 GMT 2015 , 2 , 0 , 2 , 3187559 : { buy 1.596071@0.00347913} 3187552 : { buy 2.489045@0.00347913} 
Mon Mar 09 23:00:53 GMT 2015 , 2 , 0 , 2 , 3187592 : { buy 1.585486@0.00347402} 3187584 : { buy 2.492706@0.00347402} 
Mon Mar 09 23:05:13 GMT 2015 , 2 , 0 , 2 , 3187628 : { buy 1.584153@0.00347986} 3187617 : { buy 2.488523@0.00347986} 
Mon Mar 09 23:07:23 GMT 2015 , 2 , 0 , 2 , 3187653 : { buy 1.582633@0.00347986} 3187647 : { buy 2.488523@0.00347986} 
Mon Mar 09 23:09:33 GMT 2015 , 2 , 0 , 2 , 3187682 : { buy 1.589452@0.00346493} 3187680 : { buy 2.499245@0.00346493} 
Mon Mar 09 23:11:43 GMT 2015 , 2 , 0 , 2 , 3187682 : { buy 1.589452@0.00346493} 3187680 : { buy 2.499245@0.00346493} 
Mon Mar 09 23:13:53 GMT 2015 , 2 , 0 , 2 , 3187729 : { buy 1.591965@0.00346796} 3187718 : { buy 2.497062@0.00346796} 
Mon Mar 09 23:16:03 GMT 2015 , 2 , 0 , 2 , 3187757 : { buy 1.58884@0.00347305} 3187749 : { buy 2.493402@0.00347305} 
Mon Mar 09 23:20:23 GMT 2015 , 2 , 0 , 2 , 3187786 : { buy 1.588073@0.00347183} 3187782 : { buy 2.494278@0.00347183} 
Mon Mar 09 23:22:33 GMT 2015 , 2 , 0 , 2 , 3187827 : { buy 1.588328@0.00347196} 3187818 : { buy 2.494185@0.00347196} 
Mon Mar 09 23:24:43 GMT 2015 , 2 , 0 , 2 , 3187859 : { buy 1.590245@0.00346771} 3187850 : { buy 2.497242@0.00346771} 
Mon Mar 09 23:26:53 GMT 2015 , 2 , 0 , 2 , 3187859 : { buy 1.590245@0.00346771} 3187850 : { buy 2.497242@0.00346771} 
Mon Mar 09 23:29:03 GMT 2015 , 2 , 0 , 2 , 3187887 : { buy 1.590628@0.00346929} 3187883 : { buy 2.496104@0.00346929} 
Mon Mar 09 23:31:13 GMT 2015 , 2 , 0 , 2 , 3187920 : { buy 1.590216@0.00346929} 3187914 : { buy 2.496104@0.00346929} 
Mon Mar 09 23:33:23 GMT 2015 , 2 , 0 , 2 , 3187956 : { buy 1.593661@0.00346179} 3187947 : { buy 2.501512@0.00346179} 
Mon Mar 09 23:35:33 GMT 2015 , 2 , 0 , 2 , 3187956 : { buy 1.593661@0.00346179} 3187947 : { buy 2.501512@0.00346179} 
Mon Mar 09 23:37:43 GMT 2015 , 2 , 0 , 2 , 3187985 : { buy 1.596397@0.00346011} 3187979 : { buy 2.502727@0.00346011} 
Mon Mar 09 23:39:53 GMT 2015 , 2 , 0 , 2 , 3188018 : { buy 1.596839@0.00346011} 3188013 : { buy 2.502727@0.00346011} 
Mon Mar 09 23:44:13 GMT 2015 , 2 , 0 , 2 , 3188051 : { buy 1.59612@0.00346167} 3188045 : { buy 2.501599@0.00346167} 
Mon Mar 09 23:46:23 GMT 2015 , 2 , 0 , 2 , 3188089 : { buy 1.595428@0.00346228} 3188080 : { buy 2.501158@0.00346228} 
Mon Mar 09 23:48:33 GMT 2015 , 2 , 0 , 2 , 3188120 : { buy 1.59527@0.00346228} 3188110 : { buy 2.501158@0.00346228} 
Mon Mar 09 23:50:43 GMT 2015 , 2 , 0 , 2 , 3188120 : { buy 1.59527@0.00346228} 3188110 : { buy 2.501158@0.00346228} 
Mon Mar 09 23:52:53 GMT 2015 , 2 , 0 , 2 , 3188146 : { buy 1.596884@0.00345878} 3188142 : { buy 2.503689@0.00345878} 
Mon Mar 09 23:55:03 GMT 2015 , 2 , 0 , 2 , 3188183 : { buy 1.5978@0.00345878} 3188174 : { buy 2.503689@0.00345878} 
Mon Mar 09 23:59:23 GMT 2015 , 2 , 0 , 2 , 3188214 : { buy 1.596522@0.00346155} 3188206 : { buy 2.501686@0.00346155} 
Tue Mar 10 00:01:33 GMT 2015 , 2 , 0 , 2 , 3188247 : { buy 1.596576@0.00345986} 3188240 : { buy 2.502908@0.00345986} 
Tue Mar 10 00:03:43 GMT 2015 , 2 , 0 , 2 , 3188284 : { buy 1.596848@0.00346023} 3188272 : { buy 2.50264@0.00346023} 
Tue Mar 10 00:05:53 GMT 2015 , 2 , 0 , 2 , 3188284 : { buy 1.596848@0.00346023} 3188272 : { buy 2.50264@0.00346023} 
Tue Mar 10 00:08:03 GMT 2015 , 2 , 0 , 2 , 3188319 : { buy 1.596755@0.00346023} 3188307 : { buy 2.50264@0.00346023} 
Tue Mar 10 00:10:13 GMT 2015 , 2 , 0 , 2 , 3188353 : { buy 1.59192@0.00347074} 3188342 : { buy 2.495062@0.00347074} 
Tue Mar 10 00:12:23 GMT 2015 , 2 , 0 , 2 , 3188389 : { buy 1.589171@0.00347074} 3188377 : { buy 2.495062@0.00347074} 
Tue Mar 10 00:14:33 GMT 2015 , 2 , 0 , 2 , 3188389 : { buy 1.589171@0.00347074} 3188377 : { buy 2.495062@0.00347074} 
Tue Mar 10 00:16:43 GMT 2015 , 2 , 0 , 2 , 3188413 : { buy 1.5945@0.00345914} 3188410 : { buy 2.503429@0.00345914} 
Tue Mar 10 00:18:53 GMT 2015 , 2 , 0 , 2 , 3188454 : { buy 1.596983@0.00346035} 3188444 : { buy 2.502553@0.00346035} 
Tue Mar 10 00:23:13 GMT 2015 , 2 , 0 , 2 , 3188481 : { buy 1.596554@0.00346059} 3188474 : { buy 2.50238@0.00346059} 
Tue Mar 10 00:25:23 GMT 2015 , 2 , 0 , 2 , 3188519 : { buy 1.596491@0.00346059} 3188508 : { buy 2.50238@0.00346059} 
Tue Mar 10 00:27:33 GMT 2015 , 2 , 0 , 2 , 3188551 : { buy 1.587317@0.00348059} 3188541 : { buy 2.488001@0.00348059} 
Tue Mar 10 00:29:43 GMT 2015 , 2 , 0 , 2 , 3188551 : { buy 1.587317@0.00348059} 3188541 : { buy 2.488001@0.00348059} 
Tue Mar 10 00:31:53 GMT 2015 , 2 , 0 , 2 , 3188581 : { buy 1.582114@0.00348059} 3188576 : { buy 2.488001@0.00348059} 
Tue Mar 10 00:34:03 GMT 2015 , 2 , 0 , 2 , 3188623 : { buy 1.584997@0.00347426} 3188612 : { buy 2.492534@0.00347426} 
Tue Mar 10 00:38:23 GMT 2015 , 2 , 0 , 2 , 3188651 : { buy 1.590143@0.00346662} 3188646 : { buy 2.498027@0.00346662} 
Tue Mar 10 00:40:33 GMT 2015 , 2 , 0 , 2 , 3188688 : { buy 1.59719@0.00345565} 3188683 : { buy 2.505957@0.00345565} 
Tue Mar 10 00:42:43 GMT 2015 , 2 , 0 , 2 , 3188724 : { buy 1.602685@0.00345001} 3188717 : { buy 2.510054@0.00345001} 
Tue Mar 10 00:44:53 GMT 2015 , 2 , 0 , 2 , 3188724 : { buy 1.602685@0.00345001} 3188717 : { buy 2.510054@0.00345001} 
Tue Mar 10 00:47:03 GMT 2015 , 2 , 0 , 2 , 3188753 : { buy 1.597535@0.00346433} 3188750 : { buy 2.499678@0.00346433} 
Tue Mar 10 00:49:13 GMT 2015 , 2 , 0 , 2 , 3188797 : { buy 1.600463@0.00344989} 3188786 : { buy 2.510141@0.00344989} 
Tue Mar 10 00:51:23 GMT 2015 , 2 , 0 , 2 , 3188827 : { buy 1.604198@0.00345001} 3188819 : { buy 2.510054@0.00345001} 
Tue Mar 10 00:53:33 GMT 2015 , 2 , 0 , 2 , 3188827 : { buy 1.604198@0.00345001} 3188819 : { buy 2.510054@0.00345001} 
Tue Mar 10 00:55:43 GMT 2015 , 2 , 0 , 2 , 3188855 : { buy 1.604166@0.00345001} 3188851 : { buy 2.510054@0.00345001} 
Tue Mar 10 00:57:53 GMT 2015 , 2 , 0 , 2 , 3188899 : { buy 1.604166@0.00345001} 3188887 : { buy 2.510054@0.00345001} 
Tue Mar 10 01:02:13 GMT 2015 , 2 , 0 , 2 , 3188932 : { buy 1.604166@0.00345001} 3188921 : { buy 2.510054@0.00345001} 
Tue Mar 10 01:04:23 GMT 2015 , 2 , 0 , 2 , 3188961 : { buy 1.601437@0.00345589} 3188955 : { buy 2.505783@0.00345589} 
Tue Mar 10 01:06:33 GMT 2015 , 2 , 0 , 2 , 3188999 : { buy 1.597279@0.00346155} 3188990 : { buy 2.501686@0.00346155} 
Tue Mar 10 01:08:43 GMT 2015 , 2 , 0 , 2 , 3188999 : { buy 1.597279@0.00346155} 3188990 : { buy 2.501686@0.00346155} 
Tue Mar 10 01:10:53 GMT 2015 , 2 , 0 , 2 , 3189034 : { buy 1.595797@0.00346155} 3189024 : { buy 2.501686@0.00346155} 
Tue Mar 10 01:13:03 GMT 2015 , 2 , 0 , 2 , 3189068 : { buy 1.597352@0.00345818} 3189059 : { buy 2.504124@0.00345818} 
Tue Mar 10 01:17:23 GMT 2015 , 2 , 0 , 2 , 3189101 : { buy 1.598237@0.00345818} 3189093 : { buy 2.504124@0.00345818} 
Tue Mar 10 01:19:33 GMT 2015 , 2 , 0 , 2 , 3189137 : { buy 1.601409@0.00345133} 3189128 : { buy 2.509094@0.00345133} 
Tue Mar 10 01:21:43 GMT 2015 , 2 , 0 , 2 , 3189169 : { buy 1.603205@0.00345133} 3189162 : { buy 2.509094@0.00345133} 
Tue Mar 10 01:23:53 GMT 2015 , 2 , 0 , 2 , 3189169 : { buy 1.603205@0.00345133} 3189162 : { buy 2.509094@0.00345133} 
Tue Mar 10 01:26:03 GMT 2015 , 2 , 0 , 2 , 3189202 : { buy 1.603205@0.00345133} 3189195 : { buy 2.509094@0.00345133} 
Tue Mar 10 01:28:13 GMT 2015 , 2 , 0 , 2 , 3189241 : { buy 1.603205@0.00345133} 3189231 : { buy 2.509094@0.00345133} 
Tue Mar 10 01:30:23 GMT 2015 , 2 , 0 , 2 , 3189272 : { buy 1.603205@0.00345133} 3189265 : { buy 2.509094@0.00345133} 
Tue Mar 10 01:32:33 GMT 2015 , 2 , 0 , 2 , 3189272 : { buy 1.603205@0.00345133} 3189265 : { buy 2.509094@0.00345133} 
Tue Mar 10 01:34:43 GMT 2015 , 2 , 0 , 2 , 3189299 : { buy 1.603707@0.00345025} 3189295 : { buy 2.509879@0.00345025} 
Tue Mar 10 01:36:53 GMT 2015 , 2 , 0 , 2 , 3189343 : { buy 1.603988@0.00345025} 3189330 : { buy 2.509879@0.00345025} 
Tue Mar 10 01:41:13 GMT 2015 , 2 , 0 , 2 , 3189377 : { buy 1.603932@0.00345037} 3189365 : { buy 2.509792@0.00345037} 
Tue Mar 10 01:43:23 GMT 2015 , 2 , 0 , 2 , 3189400 : { buy 1.6039@0.00345037} 3189397 : { buy 2.509792@0.00345037} 
Tue Mar 10 01:45:33 GMT 2015 , 2 , 0 , 2 , 3189440 : { buy 1.603956@0.00345025} 3189433 : { buy 2.509879@0.00345025} 
Tue Mar 10 01:47:43 GMT 2015 , 2 , 0 , 2 , 3189440 : { buy 1.603956@0.00345025} 3189433 : { buy 2.509879@0.00345025} 
Tue Mar 10 01:49:53 GMT 2015 , 2 , 0 , 2 , 3189475 : { buy 1.603988@0.00345025} 3189467 : { buy 2.509879@0.00345025} 
Tue Mar 10 01:52:03 GMT 2015 , 2 , 0 , 2 , 3189514 : { buy 1.602428@0.00345361} 3189505 : { buy 2.507437@0.00345361} 
Tue Mar 10 01:56:23 GMT 2015 , 2 , 0 , 2 , 3189544 : { buy 1.601547@0.00345361} 3189535 : { buy 2.507437@0.00345361} 
Tue Mar 10 01:58:33 GMT 2015 , 2 , 0 , 2 , 3189572 : { buy 1.601547@0.00345361} 3189569 : { buy 2.507437@0.00345361} 
Tue Mar 10 02:00:43 GMT 2015 , 2 , 0 , 2 , 3189615 : { buy 1.601547@0.00345361} 3189606 : { buy 2.507437@0.00345361} 
Tue Mar 10 02:02:53 GMT 2015 , 2 , 0 , 2 , 3189615 : { buy 1.601547@0.00345361} 3189606 : { buy 2.507437@0.00345361} 
Tue Mar 10 02:05:03 GMT 2015 , 2 , 0 , 2 , 3189652 : { buy 1.602773@0.00345097} 3189642 : { buy 2.509355@0.00345097} 
Tue Mar 10 02:07:13 GMT 2015 , 2 , 0 , 2 , 3189686 : { buy 1.603465@0.00345097} 3189676 : { buy 2.509355@0.00345097} 
Tue Mar 10 02:09:23 GMT 2015 , 2 , 0 , 2 , 3189713 : { buy 1.604079@0.00344965} 3189708 : { buy 2.510316@0.00344965} 
Tue Mar 10 02:11:33 GMT 2015 , 2 , 0 , 2 , 3189713 : { buy 1.604079@0.00344965} 3189708 : { buy 2.510316@0.00344965} 
Tue Mar 10 02:13:43 GMT 2015 , 2 , 0 , 2 , 3189750 : { buy 1.604427@0.00344965} 3189743 : { buy 2.510316@0.00344965} 
Tue Mar 10 02:15:53 GMT 2015 , 2 , 0 , 2 , 3189780 : { buy 1.604427@0.00344965} 3189775 : { buy 2.510316@0.00344965} 
Tue Mar 10 02:20:13 GMT 2015 , 2 , 0 , 2 , 3189813 : { buy 1.604315@0.00344989} 3189808 : { buy 2.510141@0.00344989} 
